Tprev,Tcurrent,y,MEUI
21,24,1,0.406
24,27,1,0.0013329
27,26,1,0.02321
26,23,0,1.20E-05
23,25.5,1,0.0001927
25.5,26.5,1,0.0001425
26.5,27,0,
27,26.72,1,
26.72,25,,
